id,ACTION
1,0.7414201391062892
2,0.971439916329825
3,0.9999999999398341
4,0.9347615374752332
5,0.9999861139643775
6,0.9999999976100773
7,0.9853603866117268
8,0.9999689915765542
9,0.6260363042778873
10,0.9809025162935657
11,0.9999989013400901
12,0.9247167907131381
13,0.92899713004132
14,0.7598858852533735
15,0.9595858497059463
16,0.9772877376511364
17,0.9143802403244312
18,0.8695320509537542
19,0.9813390180805257
20,0.9873966763309465
21,0.9999998824374061
22,0.9995733178193875
23,0.8411207454760835
24,0.9560513915749536
25,0.9311240068949814
26,0.9756564060974121
27,0.9189478176655465
28,0.639517788568812
29,0.9799832755805522
30,0.9995967674226743
31,0.9561662252765826
32,0.959663552421583
33,0.9999934205407577
34,0.9659510537399264
35,0.9370670655503412
36,0.9857313782921007
37,0.9529433076199916
38,0.9939328671206932
39,0.9995854182546201
40,0.8383628821532252
41,0.9358230403579575
42,0.9999992868008665
43,0.9661175357692438
44,0.9648125513718003
45,0.9674098643185138
46,0.9577004849714854
47,0.9999999999430602
48,0.9337670093188046
49,0.9999919619608233
50,0.9999967885083487
51,0.9847704051458825
52,0.9735587495381987
53,0.9727877596587879
54,0.9998193668208362
55,0.9821951560291897
56,0.8933923979378411
57,0.9581338289308788
58,0.999999479432328
59,0.9597295176773485
60,0.9999980422750818
61,0.9999999988292305
62,0.9817378825336174
63,0.9990077027429297
64,0.9999984288761876
65,0.9961022031969791
66,0.9999973573946138
67,0.9047309153168401
68,0.9842925696253125
69,0.9501122463861915
70,0.762581253037614
71,0.9333722328333135
72,0.9998991744861102
73,0.9608890731011881
74,0.9999976964244623
75,0.9747679844071396
76,0.9790999248182669
77,0.994382696038854
78,0.9264786855270729
79,0.858709636458073
80,0.999999642154236
81,0.9999984201612228
82,0.9999969464771209
83,0.9817773503713481
84,0.9999630010647025
85,0.9740034976940122
86,0.9148655424147669
87,0.9186907743535587
88,0.9999995382482909
89,0.9999964690552787
90,0.9534329756772224
91,0.9999962364347506
92,0.9145515083924239
93,0.999999999406542
94,0.8911613685687994
95,0.9999996582190291
96,0.9998881494915388
97,0.7997645436403992
98,0.9668854052893171
